country,year,depression
Afghanistan,1995,3.19
Afghanistan,2005,3.12
Afghanistan,2000,3.1
Afghanistan,2015,3.31
Albania,2005,4.33
Albania,2000,4.11
Albania,1995,3.96
Albania,2015,4.78
Algeria,1995,3.83
Algeria,2005,4.4
Algeria,2000,4.1
Algeria,2015,4.53
American Samoa,1995,3.04
American Samoa,2005,3.15
American Samoa,2000,3.12
American Samoa,2015,3.13
Andorra,1995,5.09
Andorra,2005,5.13
Andorra,2000,5.1
Andorra,2015,5.13
Angola,1995,3.67
Angola,2000,3.66
Angola,2005,3.63
Angola,2015,3.65
Antigua and Barbuda,1995,4.76
Antigua and Barbuda,2005,4.83
Antigua and Barbuda,2000,4.83
Antigua and Barbuda,2015,5.06
Argentina,1995,4.53
Argentina,2005,4.65
Argentina,2000,4.61
Argentina,2015,4.73
Armenia,2005,4.72
Armenia,1995,4.36
Armenia,2000,4.57
Armenia,2015,4.99
Australia,1995,5.76
Australia,2005,5.99
Australia,2000,5.79
Australia,2015,5.94
Austria,1995,5.02
Austria,2005,5.05
Austria,2000,5.03
Austria,2015,5.08
Azerbaijan,2005,4.36
Azerbaijan,2000,4.14
Azerbaijan,1995,4
Azerbaijan,2015,4.64
Bahrain,1995,4.23
Bahrain,2005,4.48
Bahrain,2000,4.28
Bahrain,2015,4.76
Bangladesh,1995,3.48
Bangladesh,2005,3.75
Bangladesh,2000,3.64
Bangladesh,2015,4.07
Barbados,2005,5.28
Barbados,1995,5.11
Barbados,2000,5.21
Barbados,2015,5.35
Belarus,1995,5.16
Belarus,2005,5.47
Belarus,2000,5.31
Belarus,2015,5.57
Belgium,1995,4.85
Belgium,2005,4.9
Belgium,2000,4.93
Belgium,2015,4.81
Belize,1995,3.74
Belize,2005,3.99
Belize,2000,3.9
Belize,2015,4.4
Benin,1995,3.74
Benin,2005,3.76
Benin,2000,3.73
Benin,2015,3.85
Bermuda,1995,4.75
Bermuda,2000,4.83
Bermuda,2005,4.91
Bermuda,2015,5.1
Bhutan,1995,3.31
Bhutan,2005,3.76
Bhutan,2000,3.48
Bhutan,2015,4.15
Bolivia,1995,4.01
Bolivia,2005,4.16
Bolivia,2000,4.07
Bolivia,2015,4.36
Bosnia and Herzegovina,2005,4.92
Bosnia and Herzegovina,1995,4.57
