country,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80plus,all
Afghanistan,1455,3565,4741,5278,5738,6240,6523,6494,6487,6533,6574,6542,6354,6178,4808,3185
Albania,1432,3631,4826,4999,5222,5573,5794,5854,5988,6133,6286,6329,6304,6251,4751,4525
Algeria,1471,3641,4886,5426,5902,6362,6667,6617,6616,6626,6623,6555,6409,6191,4772,4249
American Samoa,1220,2954,3855,4037,4364,4767,5116,5413,5605,5761,6004,6022,6318,5969,4668,2930
Andorra,1670,3998,5400,5806,5993,6048,5953,5775,5683,5664,5691,5770,5763,5703,4658,4839
Angola,1816,4642,6112,6307,6506,6888,7116,7219,7351,7522,7698,7694,7569,7408,5672,3533
Antigua and Barbuda,1606,4324,5984,6193,6304,6402,6505,6551,6625,6730,6813,6728,6621,6351,5024,4816
Argentina,1695,4266,5737,5879,5907,6021,6028,5904,5880,5878,5944,5987,5907,5810,4581,4410
Armenia,1471,3730,4958,5187,5377,5658,5888,6054,6264,6483,6722,6742,6743,6655,5005,4744
Australia,1997,5033,6851,6861,6839,7015,7007,6768,6589,6434,6355,6273,6114,5921,4717,5421
Austria,1623,3840,5222,5610,5775,5878,5803,5637,5560,5551,5634,5764,5722,5704,4661,4797
Azerbaijan,1450,3662,4854,5112,5291,5585,5813,5991,6182,6416,6636,6718,6715,6633,4960,4384
Bahrain,1521,3660,4800,5192,5629,6156,6410,6418,6422,6382,6501,6395,6378,6215,4786,4574
Bangladesh,1333,3508,4851,5223,5519,5875,6072,6134,6260,6461,6672,6711,6582,6355,4835,3971
Barbados,1578,4293,5946,6131,6221,6356,6434,6485,6621,6755,6869,6774,6592,6356,5048,5139
Belarus,1518,3634,4577,4982,5289,5559,5870,6293,6766,7307,7754,8006,8137,8165,5805,5314
Belgium,1674,3753,5004,5345,5469,5507,5468,5340,5279,5249,5305,5409,5443,5407,4457,4430
Belize,1563,4239,5850,5993,6086,6255,6336,6398,6487,6645,6716,6611,6415,6201,4885,4169
Benin,1761,4484,5852,6035,6237,6668,6896,6917,7008,7147,7320,7505,7452,7395,5650,3772
Bermuda,1634,4377,5951,6158,6280,6388,6458,6510,6595,6732,6833,6767,6564,6349,4978,4864
Bhutan,1314,3449,4766,5104,5343,5698,5904,5952,6100,6282,6533,6507,6397,6174,4714,3993
Bolivia,1577,4264,5886,6073,6167,6321,6460,6525,6612,6781,6924,6820,6619,6376,5042,4214
Bosnia and Herzegovina,1433,3632,4796,5013,5207,5512,5710,5787,5944,6102,6287,6383,6381,6337,4791,4869
Botswana,1754,4470,5921,6158,6419,6914,7202,7223,7266,7338,7446,7459,7369,7234,5566,4518
