country,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80plus,all
Afghanistan,1821,4220,5336,5905,6412,7002,7342,7285,7218,7245,7219,7067,6829,6546,5070,3601
Albania,1573,4054,5470,5652,5832,6189,6464,6558,6747,6925,7101,7046,6907,6723,4978,5112
Algeria,1855,4325,5482,6025,6502,7089,7423,7352,7340,7350,7308,7168,6889,6570,5043,4771
American Samoa,1384,3429,4463,4680,4950,5416,5822,6054,6312,6602,6833,6851,6701,6560,4946,3401
Andorra,1963,5016,6741,7110,7224,7257,7136,6889,6760,6706,6720,6792,6747,6590,5160,5786
Angola,1966,5023,6625,6832,7077,7515,7779,7883,8001,8142,8314,8320,8159,7967,6011,3881
Antigua and Barbuda,1837,5014,6877,7024,7115,7267,7337,7407,7485,7611,7694,7560,7305,6992,5378,5532
Argentina,1906,4983,6670,6610,6544,6680,6711,6562,6511,6484,6537,6538,6381,6173,4764,4959
Armenia,1638,4236,5640,5874,6077,6371,6595,6776,7012,7234,7457,7429,7313,7142,5297,5440
Australia,2335,6168,8477,8116,7837,7957,7947,7685,7485,7315,7234,7096,6800,6503,5019,6262
Austria,1895,4779,6498,6772,6886,6983,6928,6712,6614,6559,6660,6744,6682,6560,5132,5716
Azerbaijan,1623,4173,5541,5777,5959,6302,6537,6725,6960,7215,7434,7410,7318,7114,5290,5044
Bahrain,1904,4383,5575,6044,6541,7177,7529,7439,7367,7304,7282,7118,6868,6566,5094,4931
Bangladesh,1454,3814,5271,5686,6039,6445,6670,6742,6896,7142,7379,7400,7190,6928,5200,4366
Barbados,1804,4971,6865,6988,7055,7236,7310,7379,7481,7596,7709,7579,7316,7035,5438,5889
Belarus,1762,4315,5525,5972,6320,6622,6999,7480,8000,8507,8948,9053,8969,8818,6101,6359
Belgium,2025,4744,6240,6480,6521,6599,6546,6398,6301,6262,6309,6418,6381,6268,4942,5313
Belize,1796,4892,6723,6819,6887,7087,7209,7287,7388,7548,7612,7488,7243,6986,5348,4783
Benin,2121,5370,6977,7250,7537,8157,8475,8442,8455,8496,8617,8704,8613,8494,6388,4582
Bermuda,1882,5077,6886,7084,7182,7293,7339,7409,7500,7646,7721,7622,7361,7087,5399,5589
Bhutan,1430,3757,5182,5576,5902,6274,6452,6573,6742,7015,7295,7331,7162,6847,5117,4266
Bolivia,1771,4832,6704,6867,6940,7107,7270,7346,7456,7624,7776,7638,7370,7029,5461,4785
Bosnia and Herzegovina,1568,4077,5441,5629,5822,6207,6472,6596,6770,6939,7086,7076,6917,6771,5018,5488
Botswana,1899,4872,6438,6701,7027,7608,7927,7903,7867,7873,7955,8014,7917,7742,5839,4947
Brazil,1978,5929,8529,8776,8896,9112,9197,9170,9198,9243,9229,8977,8626,8227,6341,6856
Brunei,1633,4228,5616,5471,5307,5322,5309,5238,5256,5332,5406,5446,5397,5270,4079,4166
Bulgaria,1604,4111,5494,5720,5864,6213,6468,6595,6700,6909,7040,7043,6932,6840,5056,5593
Burkina Faso,2109,5289,6887,7222,7549,8067,8389,8377,8450,8546,8689,8716,8615,8446,6354,4332
Burundi,1996,5096,6698,6850,7039,7546,7848,7947,8096,8321,8497,8512,8360,8142,6092,4110
Cambodia,1258,3227,4342,4708,5102,5538,5889,6172,6449,6755,6961,6878,6668,6383,4862,3757
Cameroon,2154,5392,7003,7398,7755,8289,8587,8587,8666,8780,8905,8935,8816,8673,6531,4593
Canada,1941,5189,6846,6377,6036,6184,6173,5995,5868,5766,5770,5737,5630,5420,4101,5099
Cape Verde,2164,5595,7341,7633,7961,8457,8771,8686,8721,8772,8870,8829,8679,8506,6383,5736
Central African Republic,1974,5053,6597,6850,7062,7522,7770,7822,7953,8039,8228,8248,8110,7950,6011,4503
Chad,2121,5348,6923,7201,7530,8145,8482,8484,8493,8567,8708,8804,8736,8593,6429,4122
Chile,1961,5093,6770,6710,6590,6694,6713,6589,6530,6543,6583,6542,6376,6195,4745,5293
China,1197,3021,3929,4158,4548,5234,5872,6344,6758,7190,7522,7529,7425,7274,5533,4779
Colombia,1693,4692,6515,6752,6795,6740,6774,6928,7152,7447,7553,7439,7184,6853,5252,5243
Comoros,2008,5111,6649,6770,6991,7452,7756,7820,7945,8105,8297,8296,8145,7943,5967,4403
Congo,1986,5031,6526,6784,7022,7488,7737,7837,7966,8098,8257,8274,8139,7984,5978,4246
Costa Rica,1656,4629,6433,6595,6585,6511,6511,6712,6958,7219,7377,7197,6951,6658,5029,5194
Cote d'Ivoire,2120,5340,6919,7190,7533,8128,8500,8461,8491,8549,8685,8715,8660,8553,6418,4470
