country,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80plus,all
Afghanistan,1108,2947,4192,4712,5122,5560,5791,5772,5810,5849,5927,5937,5833,5741,4466,2795
Albania,1302,3229,4224,4400,4569,4823,5031,5082,5187,5327,5456,5608,5686,5721,4411,3928
Algeria,1100,2983,4305,4836,5306,5635,5904,5874,5890,5921,5969,5942,5877,5745,4464,3734
American Samoa,1040,2572,3374,3521,3710,4035,4298,4559,4814,5124,5349,5351,5254,5092,3915,2461
Andorra,1392,3031,4108,4539,4786,4850,4786,4665,4592,4577,4611,4669,4646,4595,3760,3851
Angola,1668,4261,5591,5769,5922,6248,6436,6527,6652,6829,6988,6958,6846,6685,5172,3181
Antigua and Barbuda,1374,3647,5018,5264,5412,5441,5509,5555,5636,5779,5900,5830,5675,5464,4388,4035
Argentina,1492,3572,4831,5163,5278,5360,5330,5225,5214,5218,5267,5328,5278,5257,4172,3837
Armenia,1322,3231,4184,4398,4605,4832,5048,5168,5351,5546,5741,5845,5881,5869,4429,3943
Australia,1676,3970,5368,5664,5862,6057,6061,5835,5663,5511,5464,5437,5387,5269,4275,4579
Austria,1363,2953,3972,4437,4699,4730,4677,4588,4517,4491,4559,4641,4620,4593,3755,3833
Azerbaijan,1295,3212,4197,4415,4618,4847,5055,5163,5350,5532,5730,5851,5883,5894,4475,3717
Bahrain,1146,3073,4372,4814,5206,5636,5876,5846,5839,5858,5899,5913,5880,5785,4457,4356
Bangladesh,1217,3215,4442,4751,4979,5285,5474,5534,5647,5822,6017,6048,5993,5804,4466,3583
Barbados,1363,3632,5016,5236,5324,5418,5478,5505,5642,5795,5907,5840,5670,5425,4352,4323
Belarus,1284,2993,3695,4031,4279,4435,4656,4977,5363,5785,6146,6366,6487,6607,4919,4101
Belgium,1335,2801,3774,4188,4416,4438,4425,4308,4256,4228,4278,4347,4354,4308,3559,3513
Belize,1333,3585,4972,5139,5237,5375,5420,5492,5602,5748,5852,5777,5612,5417,4344,3552
Benin,1408,3602,4723,4817,4937,5171,5302,5387,5535,5728,5893,5923,5855,5752,4414,2959
Bermuda,1396,3698,5028,5234,5363,5456,5551,5583,5657,5768,5880,5829,5658,5452,4372,4126
Bhutan,1200,3150,4372,4683,4954,5274,5460,5485,5581,5720,5915,5916,5827,5663,4355,3758
Bolivia,1389,3712,5086,5286,5396,5529,5636,5683,5743,5904,6023,5964,5813,5627,4476,3645
Bosnia and Herzegovina,1306,3213,4189,4431,4621,4849,4985,5030,5160,5269,5453,5596,5687,5733,4383,4245
Botswana,1612,4073,5410,5622,5822,6238,6496,6543,6637,6757,6877,6820,6667,6472,5061,4088
Brazil,1220,3490,5078,5470,5661,5758,5787,5784,5811,5860,5911,5854,5704,5521,4527,4213
Brunei,1165,2777,3733,3952,4026,4015,3959,3933,3983,4045,4094,4185,4182,4170,3339,3054
Bulgaria,1311,3275,4289,4461,4616,4830,4970,5048,5169,5298,5473,5625,5721,5756,4423,4302
Burkina Faso,1392,3544,4647,4753,4884,5108,5222,5360,5496,5682,5867,5901,5824,5708,4403,2737
Burundi,1962,5032,6540,6586,6714,7079,7343,7469,7649,7894,8047,7972,7826,7586,5955,3869
Cambodia,1011,2535,3380,3656,3900,4231,4495,4719,4975,5254,5469,5450,5357,5179,3969,2745
Cameroon,1433,3640,4750,4909,4999,5205,5319,5443,5615,5816,5996,6030,5960,5844,4521,2982
Canada,1178,3012,4177,4336,4346,4316,4245,4215,4209,4231,4349,4376,4344,4308,3312,3560
Cape Verde,1404,3584,4718,4848,4960,5176,5341,5429,5576,5755,5907,5953,5861,5783,4440,3552
Central African Republic,1685,4269,5597,5801,5939,6216,6428,6508,6672,6846,7011,6985,6850,6680,5172,3730
Chad,1389,3550,4705,4832,4940,5174,5342,5433,5546,5733,5884,5909,5831,5770,4444,2681
Chile,1513,3615,4812,5100,5265,5343,5368,5251,5199,5193,5238,5340,5304,5270,4141,4099
China,855,2086,2662,2838,3081,3487,3876,4245,4622,5002,5302,5357,5318,5229,4027,3193
Colombia,1344,3445,4688,4862,4908,4880,4894,5039,5241,5487,5677,5702,5577,5444,4415,3757
Comoros,1916,4902,6385,6533,6645,6959,7191,7339,7524,7709,7926,7844,7698,7498,5844,4127
Congo,1697,4283,5630,5832,5980,6254,6432,6526,6684,6843,6996,6990,6848,6679,5199,3560
Costa Rica,1309,3442,4666,4847,4840,4808,4796,4939,5113,5354,5531,5511,5439,5304,4266,3815
Cote d'Ivoire,1407,3568,4655,4766,4857,5124,5313,5403,5548,5754,5926,5951,5833,5737,4444,2994
Croatia,1337,3306,4314,4459,4597,4817,4979,5049,5156,5274,5412,5617,5706,5767,4397,4190
Cuba,1384,3689,5107,5277,5392,5498,5522,5555,5635,5767,5851,5832,5681,5480,4381,4546
Cyprus,1349,2931,3977,4428,4691,4736,4721,4585,4507,4494,4522,4609,4616,4540,3749,3773
Czech Republic,1349,3305,4275,4497,4645,4877,5032,5084,5204,5311,5488,5665,5744,5831,4473,4274
Democratic Republic of the Congo,1690,4328,5711,5890,6080,6286,6464,6578,6749,6966,7105,7086,6941,6786,5222,3370
Denmark,1379,2986,4043,4523,4763,4802,4721,4633,4563,4576,4610,4653,4631,4586,3755,3757
Djibouti,1982,5053,6555,6541,6665,7110,7437,7563,7695,7879,8021,7989,7864,7645,5969,4752
Dominica,1372,3636,4980,5208,5346,5438,5501,5535,5622,5772,5877,5801,5665,5480,4391,4005
