country,continent,year,depression






Myanmar,Southeast Asia,2010,3.55
Namibia,Sub-Saharan Africa,2010,4.33
Nepal,South Asia,2010,3.03
Netherlands,South Asia,2010,4.74
New Zealand,Europe,2010,5.36
Nicaragua,Australasia ,2010,4.02
Niger,Latin America,2010,3.45
Nigeria,Sub-Saharan Africa,2010,4.04
North Korea,Sub-Saharan Africa,2010,3.58
Northern Mariana Islands,Southeast Asia,2010,3.84
Norway,Oceania,2010,4.72
Oman,Europe,2010,4.37
Pakistan,North Africa and Middle East,2010,4.09
Palestine,South Asia,2010,4.85
Panama,North Africa and Middle East,2010,4.3
Papua New Guinea,Latin America,2010,2.91
Paraguay,Oceania,2010,5.09
Peru,Latin America,2010,4.65
Philippines,Latin America,2010,3.22
Poland,Southeast Asia,2010,4.99
Portugal,Europe,2010,5.64
Puerto Rico,Europe,2010,5.29
Qatar,Latin America,2010,5.15
Romania,North Africa and Middle East,2010,4.95
Russia,Europe,2010,5.45
Rwanda,Europe,2010,3.72
Saint Lucia,Sub-Saharan Africa,2010,4.83
Saint Vincent and the Grenadines,Latin America,2010,4.74
Samoa,Latin America,2010,3.13
Sao Tome and Principe,Oceania,2010,3.84
Saudi Arabia,Sub-Saharan Africa,2010,4.35
Senegal,North Africa and Middle East,2010,3.86
Serbia,Sub-Saharan Africa,2010,4.92
Seychelles,Europe,2010,3.89
Sierra Leone,Southeast Asia,2010,3.8
Singapore,Sub-Saharan Africa,2010,4.6
Slovakia,Asia Pacific,2010,5.02
Slovenia,Europe,2010,5.13
Solomon Islands,Europe,2010,2.84
Somalia,Oceania,2010,3.95
South Africa,Sub-Saharan Africa,2010,4.39
South Korea,Sub-Saharan Africa,2010,4.04
South Sudan,Asia Pacific,2010,4.36
Spain,Sub-Saharan Africa,2010,5.24
Sri Lanka,Europe,2010,3.95
Sudan,Southeast Asia,2010,3.46
Suriname,North Africa and Middle East,2010,4.69
Swaziland,Latin America,2010,4.11
Sweden,Sub-Saharan Africa,2010,4.89
Switzerland,Europe,2010,4.96
Syria,Europe,2010,4.02
Taiwan,North Africa and Middle East,2010,3.71
Tajikistan,Southeast Asia,2010,3.74
Tanzania,Central Asia,2010,4.1
Thailand,Sub-Saharan Africa,2010,4.26
The Bahamas,Southeast Asia,2010,5.1
Gambia,Latin America,2010,3.89
East Timor,Sub-Saharan Africa,2010,2.93
Togo,Southeast Asia,2010,3.86
Tonga,Sub-Saharan Africa,2010,3.15
Trinidad and Tobago,Oceania,2010,5.17
Tunisia,Latin America,2010,4.84
Turkey,North Africa and Middle East,2010,4.3
Turkmenistan,North Africa and Middle East,2010,4.12
Uganda,Central Asia,2010,4.56
Ukraine,Sub-Saharan Africa,2010,6.24
UAE,Europe,2010,5.05
United Kingdom,North Africa and Middle East,2010,4.37
United States of America,Europe,2010,5.62
Uruguay,North America,2010,4.91
Uzbekistan,Latin America,2010,4.15
Vanuatu,Central Asia,2010,3.04
Venezuela,Oceania,2010,4.09
Vietnam,Latin America,2010,3.9
"Virgin Islands, U.S.",Southeast Asia,2010,5.29
Yemen,Latin America,2010,3.42
Zambia,North Africa and Middle East,2010,3.98
Zimbabwe,Sub-Saharan Africa,2010,3.99
