periode,zelfdoding
2005JJ00,1572
2006JJ00,1524
2007JJ00,1353
2008JJ00,1435
2009JJ00,1525
2010JJ00,1600
2011JJ00,1647
2012JJ00,1753
2013JJ00,1857
2014JJ00,1839
2015JJ00,1871
2005JJ00,0
2006JJ00,0
2007JJ00,0
2008JJ00,0
2009JJ00,0
2010JJ00,0
2011JJ00,0
2012JJ00,0
2013JJ00,0
2014JJ00,0
2015JJ00,0
2005JJ00,0
2006JJ00,0
2007JJ00,0
2008JJ00,0
2009JJ00,0
2010JJ00,0
2011JJ00,0
2012JJ00,0
2013JJ00,0
2014JJ00,0
2015JJ00,0
2005JJ00,0
2006JJ00,0
2007JJ00,0
2008JJ00,0
2009JJ00,0
2010JJ00,0
2011JJ00,0
2012JJ00,0
2013JJ00,0
2014JJ00,0
2015JJ00,0
2005JJ00,13
2006JJ00,4
2007JJ00,9
2008JJ00,5
2009JJ00,8
2010JJ00,6
2011JJ00,4
2012JJ00,6
2013JJ00,7
2014JJ00,2
2015JJ00,7
2005JJ00,38
2006JJ00,44
2007JJ00,33
2008JJ00,29
2009JJ00,44
2010JJ00,49
2011JJ00,40
2012JJ00,45
2013JJ00,51
2014JJ00,53
2015JJ00,41
2005JJ00,73
2006JJ00,81
2007JJ00,60
2008JJ00,69
2009JJ00,56
2010JJ00,73
2011JJ00,83
2012JJ00,84
2013JJ00,88
2014JJ00,76
2015JJ00,82
2005JJ00,80
2006JJ00,85
2007JJ00,75
2008JJ00,74
2009JJ00,83
2010JJ00,75
2011JJ00,106
2012JJ00,96
2013JJ00,97
2014JJ00,81
2015JJ00,103
2005JJ00,119
2006JJ00,109
2007JJ00,87
2008JJ00,85
2009JJ00,78
2010JJ00,93
2011JJ00,94
2012JJ00,105
2013JJ00,85
2014JJ00,90
2015JJ00,108
2005JJ00,160
2006JJ00,131
2007JJ00,134
2008JJ00,137
2009JJ00,126
2010JJ00,105
2011JJ00,124
2012JJ00,123
2013JJ00,128
2014JJ00,135
2015JJ00,115
2005JJ00,187
2006JJ00,165
2007JJ00,134
2008JJ00,154
2009JJ00,168
2010JJ00,181
2011JJ00,186
2012JJ00,192
2013JJ00,187
2014JJ00,173
2015JJ00,149
2005JJ00,199
2006JJ00,188
2007JJ00,179
2008JJ00,183
2009JJ00,198
2010JJ00,216
2011JJ00,219
2012JJ00,231
2013JJ00,219
2014JJ00,225
2015JJ00,211
2005JJ00,185
2006JJ00,190
2007JJ00,151
2008JJ00,170
2009JJ00,200
2010JJ00,200
2011JJ00,184
2012JJ00,224
2013JJ00,230
2014JJ00,258
2015JJ00,235
2005JJ00,161
2006JJ00,145
2007JJ00,129
2008JJ00,146
2009JJ00,156
2010JJ00,169
2011JJ00,177
2012JJ00,183
2013JJ00,227
2014JJ00,244
2015JJ00,231
2005JJ00,85
2006JJ00,96
2007JJ00,120
2008JJ00,122
2009JJ00,127
2010JJ00,156
2011JJ00,148
2012JJ00,143
2013JJ00,169
2014JJ00,162
2015JJ00,174
2005JJ00,77
2006JJ00,81
2007JJ00,75
2008JJ00,76
2009JJ00,64
2010JJ00,84
2011JJ00,68
2012JJ00,106
2013JJ00,126
2014JJ00,91
2015JJ00,138
2005JJ00,69
2006JJ00,67
2007JJ00,50
2008JJ00,60
2009JJ00,73
2010JJ00,65
2011JJ00,83
2012JJ00,69
2013JJ00,75
2014JJ00,91
2015JJ00,94
2005JJ00,46
2006JJ00,49
2007JJ00,49
2008JJ00,52
2009JJ00,53
2010JJ00,44
2011JJ00,47
2012JJ00,58
2013JJ00,68
2014JJ00,66
2015JJ00,74
2005JJ00,42
2006JJ00,55
2007JJ00,35
2008JJ00,31
2009JJ00,53
2010JJ00,42
2011JJ00,47
2012JJ00,46
2013JJ00,43
2014JJ00,49
2015JJ00,59
2005JJ00,27
2006JJ00,25
2007JJ00,18
2008JJ00,29
2009JJ00,24
2010JJ00,26
2011JJ00,29
2012JJ00,27
2013JJ00,34
2014JJ00,27
2015JJ00,36
2005JJ00,9
2006JJ00,7
2007JJ00,12
2008JJ00,10
2009JJ00,8
2010JJ00,12
2011JJ00,7
2012JJ00,11
2013JJ00,22
2014JJ00,15
2015JJ00,14
2005JJ00,2
2006JJ00,2
2007JJ00,3
2008JJ00,3
2009JJ00,6
2010JJ00,4
2011JJ00,1
2012JJ00,4
2013JJ00,1
2014JJ00,1
2015JJ00,0
2005JJ00,1073
2006JJ00,1046
2007JJ00,943
2008JJ00,988
2009JJ00,1064
2010JJ00,1124
2011JJ00,1136
2012JJ00,1186
2013JJ00,1308
2014JJ00,1250
2015JJ00,1280
2005JJ00,0
2006JJ00,0
2007JJ00,0
2008JJ00,0
2009JJ00,0
2010JJ00,0
2011JJ00,0
2012JJ00,0
2013JJ00,0
2014JJ00,0
2015JJ00,0
2005JJ00,0
2006JJ00,0
2007JJ00,0
2008JJ00,0
2009JJ00,0
2010JJ00,0
2011JJ00,0
2012JJ00,0
2013JJ00,0
2014JJ00,0
2015JJ00,0
2005JJ00,0
2006JJ00,0
2007JJ00,0
2008JJ00,0
2009JJ00,0
2010JJ00,0
2011JJ00,0
2012JJ00,0
2013JJ00,0
2014JJ00,0
2015JJ00,0
2005JJ00,11
2006JJ00,1
2007JJ00,5
2008JJ00,5
2009JJ00,6
2010JJ00,5
2011JJ00,3
2012JJ00,4
2013JJ00,4
